iter	Passed	Remaining
0	149	149186
1	158	79080
2	167	55672
3	176	43961
4	186	37081
5	195	32394
6	205	29124
7	213	26457
8	223	24579
9	232	23023
10	241	21684
11	250	20616
12	259	19677
13	268	18918
14	277	18223
15	286	17642
16	296	17118
17	305	16652
18	315	16269
19	323	15870
20	333	15543
21	342	15219
22	352	14955
23	361	14714
24	371	14480
25	381	14287
26	390	14077
27	400	13892
28	410	13740
29	420	13593
30	430	13455
31	439	13308
32	449	13174
33	459	13043
34	469	12935
35	478	12820
36	488	12708
37	497	12603
38	507	12496
39	517	12415
40	526	12317
41	535	12221
42	545	12145
43	554	12056
44	564	11988
45	574	11909
46	584	11850
47	594	11783
48	603	11717
49	613	11661
50	623	11607
51	633	11550
52	643	11492
53	652	11423
54	661	11368
55	671	11312
56	681	11270
57	691	11226
58	700	11175
59	710	11132
60	720	11090
61	730	11048
62	739	11003
63	749	10960
64	759	10919
65	768	10875
66	778	10846
67	788	10801
68	798	10772
69	808	10738
70	817	10693
71	826	10655
72	836	10619
73	846	10587
74	855	10555
75	865	10516
76	874	10483
77	883	10448
78	894	10423
79	903	10393
80	913	10366
81	924	10350
82	933	10318
83	944	10301
84	954	10274
85	964	10249
86	974	10229
87	985	10212
88	995	10187
89	1005	10163
90	1015	10140
91	1025	10119
92	1034	10092
93	1044	10067
94	1054	10042
95	1063	10015
96	1073	9990
97	1082	9963
98	1092	9943
99	1102	9923
100	1112	9899
101	1122	9882
102	1132	9859
103	1142	9839
104	1151	9814
105	1161	9793
106	1171	9773
107	1180	9751
108	1190	9732
109	1200	9716
110	1210	9695
111	1220	9676
112	1230	9658
113	1240	9640
114	1249	9618
115	1259	9599
116	1269	9580
117	1278	9557
118	1288	9538
119	1298	9519
120	1307	9499
121	1317	9482
122	1327	9465
123	1337	9449
124	1347	9430
125	1356	9409
126	1366	9393
127	1375	9373
128	1386	9358
129	1395	9340
130	1405	9325
131	1416	9311
132	1425	9295
133	1435	9278
134	1446	9265
135	1455	9247
136	1465	9230
137	1474	9209
138	1483	9191
139	1493	9173
140	1504	9164
141	1513	9146
142	1523	9132
143	1533	9115
144	1542	9095
145	1552	9083
146	1562	9069
147	1572	9049
148	1581	9030
149	1590	9012
150	1600	8996
151	1609	8980
152	1619	8965
153	1629	8950
154	1638	8933
155	1648	8920
156	1658	8905
157	1667	8888
158	1677	8871
159	1686	8853
160	1695	8837
161	1705	8819
162	1714	8803
163	1723	8787
164	1733	8773
165	1743	8758
166	1752	8743
167	1762	8726
168	1771	8710
169	1781	8695
170	1790	8678
171	1799	8661
172	1808	8646
173	1818	8630
174	1827	8615
175	1836	8598
176	1846	8585
177	1855	8569
178	1865	8556
179	1875	8544
180	1884	8529
181	1894	8512
182	1903	8496
183	1912	8482
184	1922	8468
185	1931	8452
186	1941	8440
187	1950	8426
188	1960	8412
189	1970	8399
190	1980	8386
191	1989	8372
192	1998	8355
193	2007	8339
194	2016	8322
195	2025	8308
196	2034	8293
197	2044	8280
198	2053	8266
199	2062	8251
200	2072	8237
201	2081	8224
202	2091	8213
203	2101	8199
204	2111	8187
205	2120	8173
206	2129	8159
207	2139	8146
208	2148	8131
209	2158	8120
210	2167	8106
211	2176	8091
212	2186	8077
213	2194	8061
214	2204	8047
215	2213	8033
216	2222	8019
217	2231	8004
218	2240	7991
219	2249	7976
220	2259	7963
221	2268	7949
222	2277	7935
223	2286	7922
224	2296	7908
225	2305	7894
226	2315	7886
227	2325	7872
228	2334	7860
229	2343	7846
230	2353	7833
231	2361	7818
232	2371	7805
233	2380	7792
234	2390	7781
235	2400	7770
236	2409	7757
237	2418	7744
238	2427	7729
239	2437	7717
240	2445	7703
241	2455	7692
242	2465	7679
243	2474	7665
244	2483	7653
245	2492	7640
246	2502	7628
247	2512	7617
248	2521	7606
249	2531	7593
250	2540	7581
251	2550	7569
252	2559	7556
253	2568	7544
254	2578	7533
255	2587	7521
256	2597	7508
